Order,Task name,Category,Priority,Status,Owner,Effort level,Can dev do now,Requires SSR/prerender,Requires content approval,Source file,Notes
1,[AEO] Maintain valid robots.txt + sitemap.xml + agent Link headers,Agent readiness,High,Done,Engineer,Small,No,No,No,AI_VISIBILITY_TODO.md,"Keep robots.txt, sitemap.xml, and agent discovery headers valid and up to date. Passed in IsItAgentReady scan."
2,[AEO] Add Content Signals to robots.txt,Agent readiness,High,Done,"Engineer, Policy",Small,No,No,No,AI_VISIBILITY_TODO.md,"Maintain Content-Signal directives in robots.txt: ai-train=no, search=yes, ai-input=no."
3,[AEO] Return 404 for missing /.well-known files,Agent readiness,Medium,Done,"Engineer, DevOps",Small,No,No,No,AI_VISIBILITY_TODO.md,"Return 404 for missing /.well-known protocol files instead of serving the SPA shell fallback."
4,[AEO] Publish Agent Skills discovery index,Agent readiness,Medium,Done,"Product, Engineer",Small,No,No,No,AI_VISIBILITY_TODO.md,"Maintain /.well-known/agent-skills/index.json pointing to the maintained KyberSwap skills repo with pinned URLs and digests."
5,[AEO] Publish MCP Server Card for docs MCP discovery,Agent readiness,Medium,Done,Engineer,Small,No,No,No,AI_VISIBILITY_TODO.md,"Maintain /.well-known/mcp/server-card.json pointing to the docs-backed MCP endpoint."
6,[AEO] Publish API catalog linkset for supported public APIs,Agent readiness,Low,Done,"Backend/API Owner, Engineer",Small,No,No,No,AI_VISIBILITY_TODO.md,"Maintain /.well-known/api-catalog for docs-backed public APIs: Aggregator, Limit Order, and Zap-as-a-Service."
7,[AEO] Add llms.txt to domain root,Agent readiness,Low,Done,"Content, Engineer",Small,No,No,No,AI_VISIBILITY_TODO.md,"Maintain llms.txt as a lightweight root-domain experiment; refresh only if it proves useful."
8,[AEO] Publish refreshed sitemap.xml for approved public pages,Foundation,Medium,Done,Engineer,Small,No,No,No,AI_VISIBILITY_TODO.md,"Keep sitemap.xml updated for current approved public routes; URL quality decisions should lead sitemap changes."
9,[AEO] Allowlist search and AI bots in repo-local robots.txt,Foundation,High,Done,"Engineer, DevOps",Small,No,No,No,AI_VISIBILITY_TODO.md,"Repo-local robots.txt portion is complete; CDN/WAF allowlisting remains outside this repo."
10,[SEO] Add noindex or crawl controls for thin and duplicate URLs,Foundation,High,Done,Engineer,Medium,No,No,No,AI_VISIBILITY_TODO.md,"Route metadata and query-based noindex rules are implemented; keep monitoring low-value URL variants."
11,[SEO] Fix canonicalization and duplicate URL handling,Foundation,High,Done,Engineer,Medium,No,No,No,AI_VISIBILITY_TODO.md,"Route-level canonical tags and duplicate URL handling are implemented in head metadata."
12,[SEO] Add JSON-LD schema to home and about pages,Foundation,Medium,Done,Engineer,Small,No,No,No,AI_VISIBILITY_TODO.md,"Home and about pages have Organization/WebSite/AboutPage structured data based on visible content."
13,[Perf] Measure page load time before optimizing,Performance,Low,Not started,Engineer,Small,Yes,No,No,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Run Lighthouse/Web Vitals for audited routes before changing performance-sensitive code."
14,[Perf] Profile interaction response time before changes,Performance,Low,Not started,Engineer,Small,Yes,No,No,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Profile INP and interaction bottlenecks before changing UI or state flows."
15,[Perf] Inspect render-blocking resources after measurement,Performance,Low,Not started,Engineer,Small,Yes,No,No,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"After measurement, inspect fonts, scripts, route chunks, and critical CSS."
16,[A11y] Prefer meaningful alt/ARIA labels over image title attributes,Accessibility,Low,Not started,Engineer,Small,Yes,No,No,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Improve accessibility with useful alt text and ARIA labels; do not add image title attributes only for scanner compliance."
17,[AEO] Enable SSR/prerender for priority pages,SSR/prerender,High,Not started,Engineer,Large,Yes,Yes,No,Both,"Root fix for raw SPA scanner issues: content-to-code ratio, insufficient raw content, headings, links, metadata, and schema visibility. Start with /, /about/kyberswap, /swap, and /earn/pools."
18,[AEO] Add/restore semantic H1 tags on priority routes,Semantic HTML,High,Blocked,Engineer,Medium,No,Yes,Partial,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Use existing visible approved copy where possible. Blocked by Tailwind migration for Earn pages and by SSR/prerender for raw scanner resolution."
19,[AEO] Convert section titles to H2 where appropriate,Semantic HTML,High,Blocked,Engineer,Medium,No,Yes,Partial,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Use existing visible approved section titles where possible. Blocked by Tailwind migration and SSR/prerender for raw scanner resolution."
20,[AEO] Make navigation links crawl-detectable with real anchors,Crawlability,High,Blocked,Engineer,Large,No,Yes,No,Both,"Convert crawl-relevant navigation/internal links to real HTML anchors or Link elements. Blocked by Tailwind/navigation migration risk and SSR/prerender for raw scanner resolution."
21,[AEO] Audit and fix important internal links for crawlability,Crawlability,High,Blocked,Engineer,Medium,No,Yes,No,AI_VISIBILITY_TODO.md,"Audit nav, footer, comparison links, chain hubs, learn hub, and detail page links after route/content decisions are stable."
22,[SEO] Add WebPage JSON-LD schema to /earn and /earn/pools,Schema,High,Blocked,Engineer,Small,No,Yes,No,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Use consistent route metadata, but scanner resolution depends on SSR/prerender. Deferred while Searchable SPA code edits are paused."
23,[SEO] Keep BreadcrumbList schema skipped unless breadcrumb UI exists,Schema,Low,Skipped,"Product, Engineer",Small,No,No,Yes,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Searchable reports BreadcrumbList missing, but app does not expose visible breadcrumb UI. Do not add BreadcrumbList JSON-LD only for scanner compliance."
24,[SEO] Defer Service schema until /about service copy is approved,Schema,Medium,Deferred,"Content, Product, Engineer",Small,No,Yes,Yes,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Service schema for /about/kyberswap needs visible approved service description and SSR/prerender before it is worth adding."
25,[SEO] Defer Product schema on /swap/ethereum unless Product approves framing,Schema,Medium,Deferred,"Product, Engineer",Small,No,Yes,Yes,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Do not force Product schema for swap unless visible content supports that framing; consider WebApplication or Service later."
26,[SEO] Fix overlong meta descriptions,Metadata,Medium,Blocked,"Content, Engineer",Small,No,Partial,Yes,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Shorten meta descriptions on key pages only after Growth/Product approves wording; raw scanner resolution may still need SSR/prerender."
27,[SEO] Align meta descriptions with on-page content,Metadata,Medium,Blocked,"Content, Engineer",Small,No,Yes,Yes,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Align meta description wording with visible page copy for / and /earn/pools after content approval."
28,[SEO] Align title with on-page content,Metadata,Medium,Blocked,"Content, Engineer",Small,No,Yes,Yes,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Align page title, H1, and body copy for / and /earn/pools after content approval."
29,[Content] Improve /earn/pools main heading summary,Content approval,Medium,Blocked,Content,Small,No,No,Yes,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Searchable reports the main heading does not clearly summarize /earn/pools. Requires approved copy before engineering changes."
30,[Content] Use intent-aligned headings on /earn and /earn/pools,Content approval,Medium,Blocked,"Content, Engineer",Medium,No,Yes,Yes,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Requires Growth/Product-approved heading direction; engineering can apply semantic markup after content approval and Tailwind migration."
31,[Content] Add clear intro on /earn and /earn/pools,Content approval,Medium,Blocked,Content,Medium,No,Yes,Yes,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Add a short problem/answer intro only after Growth/Product approves copy; render it in initial HTML when SSR/prerender exists."
32,[Content] Add approved competitive differentiators,Content approval,Medium,Blocked,"Content, Legal/Compliance, Product",Large,No,Yes,Yes,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Requires factual, defensible positioning and likely Legal/Compliance review; engineering should not invent claims."
33,[Content] Add use cases/examples section,Content approval,Medium,Blocked,Content,Large,No,Yes,Yes,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Requires approved examples or case-study direction before building sections."
34,[Content] Add FAQ/common objections section,Content approval,Low,Blocked,Content,Medium,No,Yes,Yes,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Requires approved FAQ/common objection content before schema or UI work."
35,[SEO] Add FAQPage JSON-LD after visible FAQ content exists,Schema,Low,Blocked,"Content, Engineer",Medium,No,Yes,Yes,Both,"Add FAQPage only after approved FAQ content is visible on the page; /about/kyberswap and /swap/ethereum are affected."
36,[Content] Add social proof/testimonials/logos if approved,Content approval,Low,Blocked,"Content, Legal/Compliance",Medium,No,Yes,Yes,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Use only approved metrics, logos, partners, testimonials, or public proof. Do not invent social proof."
37,[Content] Add trust signals where approved,Content approval,Low,Blocked,"Content, Legal/Compliance",Medium,No,Yes,Yes,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Trust/security language for /about/kyberswap and /earn/pools needs Product/Legal approval; avoid guarantees unless explicitly approved."
38,[Content] Add features table on /about/kyberswap,Content approval,Low,Blocked,"Content, Product",Medium,No,No,Yes,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Feature table may be useful; pricing table likely does not fit. Product must approve feature list and framing."
39,[AEO] Add freshness/authorship/source attribution on high-value pages,Content quality,High,Not started,"Content, Engineer",Medium,Yes,Partial,Yes,AI_VISIBILITY_TODO.md,"Add visible freshness, authorship, and source attribution on high-value pages starting with /about/kyberswap."
40,[AEO] Rebuild /about/kyberswap as a source-of-truth static page,Content quality,High,Not started,"Content, Engineer",Large,No,Yes,Yes,AI_VISIBILITY_TODO.md,"Treat /about/kyberswap as the AI-facing source of truth and render strong approved content in initial HTML."
41,[AEO] Add factual KyberSwap comparison table to /about/kyberswap,Content approval,Medium,Blocked,Content,Medium,No,No,Yes,AI_VISIBILITY_TODO.md,"Add a factual competitor comparison table using approved claims and sources where possible."
42,[AEO] Expand /about/kyberswap with anchor-linked comparison sections,Content approval,High,Blocked,"Content, Engineer",Large,No,Yes,Yes,AI_VISIBILITY_TODO.md,"Stronger follow-up to the comparison table; add deeper citeable sections after comparison direction is approved."
43,[AEO] Add Compare column to site footer,Crawlability,Medium,Blocked,Engineer,Small,No,No,Yes,AI_VISIBILITY_TODO.md,"Footer links should point to crawlable comparison anchors after comparison anchors exist."
44,[SEO] Add HowTo schema to swap and earn guides after content,Schema,Low,Deferred,"Content, Engineer",Medium,No,Yes,Yes,AI_VISIBILITY_TODO.md,"Only add HowTo schema after step-by-step swap/earn guide content is strong, visible, and approved."
45,[AEO] Add per-chain sections to /earn/pools,Content approval,High,Blocked,"Content, Engineer",Large,No,Yes,Yes,AI_VISIBILITY_TODO.md,"Add concrete chain-specific pool sections with pools, APR ranges, TVL, and links after content/data direction is approved."
46,[AEO] Add per-chain sections to /swap,Content approval,High,Blocked,"Content, Engineer",Large,No,Yes,Yes,AI_VISIBILITY_TODO.md,"Add per-chain swap sections starting with highest-demand chains after content/data direction is approved."
47,[SEO] Improve data visuals/captions on /swap/ethereum,Content quality,Low,Not started,Engineer,Small,Yes,No,Partial,AI_SEARCHABLE_MAINPAGE_AUDIT_TODO.md,"Improve labels or captions around existing swap visuals only where they clarify meaning; low priority."
48,[Content] Build /learn hub with differentiated educational articles,Content expansion,High,Not started,"Content, Engineer",Large,No,Yes,Yes,AI_VISIBILITY_TODO.md,"Publish only differentiated educational content backed by product knowledge and data."
49,[Content] Build /chains/[chain] landing pages,Content expansion,High,Not started,"Content, Engineer",Large,No,Yes,Yes,AI_VISIBILITY_TODO.md,"Create chain landing pages in a small priority batch first; avoid mass page creation before first-wave validation."
50,[Content] Build /token/[symbol] pages for a small high-value set,Content expansion,Medium,Not started,"Content, Engineer",Large,No,Yes,Yes,AI_VISIBILITY_TODO.md,"Create token pages only for a small, high-value token set; avoid thin pages."
51,[Content] Publish chain-specific blog posts for verified query gaps,Content expansion,Medium,Not started,Content,Large,No,No,Yes,AI_VISIBILITY_TODO.md,"Publish chain-specific posts for verified AI/search query gaps; quality and freshness matter more than volume."
52,[Content] Expand /learn based on AI query gaps and missing citations,Ongoing content,High,Not started,Content,Large,No,No,Yes,AI_VISIBILITY_TODO.md,"Expand /learn based on observed AI query gaps and missing citations over time."
53,[AEO] Monitor AI citation rate for core prompts,Measurement,High,Not started,"Analytics, Engineer",Medium,Yes,No,No,AI_VISIBILITY_TODO.md,"Set up a recurring process to monitor AI citation rate for core brand and category prompts."
54,[Analytics] Review AI-referred sessions on a recurring cadence,Measurement,High,Not started,"Analytics, Engineer",Small,Yes,No,No,AI_VISIBILITY_TODO.md,"Review AI-referred sessions from ChatGPT, Perplexity, Claude, and similar referrers on a recurring cadence."
55,[Content] Update comparison content on a fixed cadence,Ongoing content,Medium,Not started,Content,Small,No,No,Yes,AI_VISIBILITY_TODO.md,"Review and update comparison content regularly so claims do not become stale."
56,[AEO] Refresh llms.txt if it proves useful,Ongoing maintenance,Low,Not started,Content,Small,No,No,Yes,AI_VISIBILITY_TODO.md,"Refresh llms.txt only if the file proves useful in practice."
57,[AEO] Evaluate AI search widget on /about/kyberswap,Deferred experiment,Low,Deferred,Engineer,Medium,No,No,No,AI_VISIBILITY_TODO.md,"Deprioritized until crawlability, source-of-truth content, and measurement are in place."
58,[AEO] Evaluate Cloudflare Markdown for Agents at the edge,Agent readiness,Low,Deferred,"DevOps, Engineer",Medium,No,No,No,AI_VISIBILITY_TODO.md,"Required for IsItAgentReady Level 3, but lower priority than rendered HTML and source-of-truth content. Do not implement Accept: text/markdown in React runtime."
59,[AEO] Keep WebMCP skipped until browser/runtime support is documented,Explicitly skipped,Low,Skipped,"Product, Engineer",Small,No,No,No,AI_VISIBILITY_TODO.md,"Docs mention MCP and Documentation MCP, but do not document browser/runtime WebMCP support."
60,[AEO] Keep OAuth/OIDC discovery skipped unless KyberSwap exposes an OAuth server,Explicitly skipped,Low,Skipped,Engineer,Small,No,No,No,AI_VISIBILITY_TODO.md,"No OAuth authorization server is exposed on the root domain."
61,[AEO] Keep OAuth Protected Resource metadata skipped,Explicitly skipped,Low,Skipped,Engineer,Small,No,No,No,AI_VISIBILITY_TODO.md,"No current OAuth-protected resource contract is advertised from the root domain."
62,[AEO] Keep A2A Agent Card skipped until a real agent endpoint exists,Explicitly skipped,Low,Skipped,"Product, Engineer",Small,No,No,No,AI_VISIBILITY_TODO.md,"Do not publish an A2A Agent Card without a real agent endpoint and owner."
63,[AEO] Keep Web Bot Auth skipped until security requirement exists,Explicitly skipped,Low,Skipped,"Security, Engineer",Small,No,No,No,AI_VISIBILITY_TODO.md,"Web Bot Auth is not a current product/security requirement."
64,[AEO] Keep agentic commerce protocols skipped,Explicitly skipped,Low,Skipped,"Product, Engineer",Small,No,No,No,AI_VISIBILITY_TODO.md,"x402, MPP, UCP, ACP, and AP2 are skipped because the current site does not expose paid agent resources or agentic commerce discovery."
